date_time_utc,picked_up,pitched,call_end_result,City,Name,Address,Website,Phone,Email,Google Rating,Google Reviews,Yelp Rating,Yelp Reviews,FB Rating,FB Reviews,FB Likes,FB Checkins,FB Followers,Title,Description,Adwords,Facebook Ads,Twitter Ads,LinkedIn Ads,Bing Ads,Robot Config,SSL,WordPress,FB URL,Twitter URL,LinkedIn URL,YouTube URL,Instagram URL,Category,Search Type,Crawler Status,Founded,Company Type,Company Size,BBB Profile,State,Years in Business,First Name,Last Name,Contact Job Title,Revenue,Top Keywords
08:05:2024 16:45:00,Yes,Yes,Not Interested,Tucker,"Transcend Mind-Body Wellness and Floatation Clinic, LLC","2256 Northlake Pkwy Ste 210, Tucker, GA 30084-4004",,(404) 458-7495,info@mobilehealthcareproviders.org,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/ga/tucker/profile/health-and-wellness/primary-health-wellness-0443-91832893,GA,1,Stacey,,,,
08:05:2024 15:45:00,Yes,Yes,Not Interested,Lakeville,Solvera Healthcare Center Inc,", Lakeville, MN 55044",https://www.mnivnow.com,(612) 216-3922,marisarah@mnivnow.com,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/mn/lakeville/profile/health-and-wellness/mniv---concierge-hydration-services-0704-1000065046,MN,2,Marisarah,Larvick,,,
08:05:2024 13:08:00,Yes,Yes,Not Interested,Long-lake,Lazarus Labs,", Long Lake, MN 55356-9710",http://www.ivminnesota.com,(612) 400-4415,melissa@ivminnesota.com,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/mn/long-lake/profile/health-and-wellness/iv-minnesota-0704-1000061889,MN,1,Melissa,A,,,
03.05.2024 20:57pm,Yes,Yes,Not Interested,Peoria,"Finker Wellness, Inc.","6707 N Sheridan Rd, Peoria, IL 61614-2844",https://Www.hopeandhealingwellnesscenter.com,(309) 431-0693,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/il/peoria/profile/health-and-wellness/hope-and-healing-wellness-center-0724-1000037881,IL,2,Danielle,R,,,
03.05.2024 20:57pm,Yes,Yes,Not Interested,Kettering,PureNSM,"580 Lincoln Park Blvd., Ste. 200, Kettering, OH 45429",,"(800) 373-2160,(937) 299-0099",,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/oh/kettering/profile/health-and-wellness/kettering-breast-evaluation-centers-0322-14000502,OH,38,Julie,Hillman,,,
03.05.2024 20:46pm,Yes,Yes,Not Interested,Decatur,Serenity Massage Studio,"1451 W Business 380 Ste 3B, Decatur, TX 76234-3266",https://vitalitymedclinic.com,(940) 273-5700,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/tx/decatur/profile/health-and-wellness/vitality-medical-pllc-0825-1000219165,TX,1,Kayla,Garcia,,,
03.05.2024 20:41pm,Yes,Yes,Not Interested,Omaha,"D. Murray Counseling, PLLC","2032 N 72nd St, Omaha, NE 68134-7002",https://www.nonamenutrition.com/,"(402) 333-1300,(402) 393-5812",,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/ne/omaha/profile/health-and-wellness/no-name-nutrition-center-0714-130000002,NE,47,Lynn,F.,,,
03.05.2024 20:01pm,Yes,Yes,Not Interested,Raleigh,First Day,"3948 Browning Pl Ste 300, Raleigh, NC 27609-6512",https://www.balmscopewellness.com/,(919) 410-7445,tamiqua@balmscopewellness.com,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/nc/raleigh/profile/health-and-wellness/balmscope-wellness-pllc-0593-90358945,NC,1,Tamiqua,S,,,
03.05.2024 20:00pm,Yes,Yes,Not Interested,Bellaire,vp4Fitness,"6800 West Loop S Ste 460, Bellaire, TX 77401-4533",http://www.houstonpatientadvocacy.com,(281) 888-2406,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/tx/bellaire/profile/health-and-wellness/houston-patient-advocacy-llc-0915-90028679,TX,13,Vik,Rajan,,,
03.05.2024 19:52pm,Yes,Yes,Not Interested,Laredo,Root to Rise Wellness Center,"208 John Irving Dr., Laredo, TX 78041",https://www.hydraidiv.com/,(956) 625-4009,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/tx/laredo/profile/health-and-wellness/hydraid-iv-hydration-0825-1000220831,TX,1,Mariana,Rios,,,
03.05.2024 19:38pm,Yes,Yes,Not Interested,Hendersonvlle,The B12 Link LLC,"724 Oriole Dr, Hendersonvlle, NC 28792-2641",https://www.wynningblessings.com,"(828) 243-7699,(828) 489-9776",,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/nc/hendersonvlle/profile/health-and-wellness/wynning-blessings-home-care-0473-92030857,NC,1,Lisa,Caldwell,,,
03.05.2024 19:30pm,Yes,Yes,Not Interested,Bartlett,Natural Concepts 4 You,"2851 Shelby St, Bartlett, TN 38134",https://www.facebook.com/nutritionalnp/,(901) 529-7474,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/tn/bartlett/profile/health-and-wellness/revive-remedy-llc-0543-44179671,TN,2,Terri,Wallace,,,
03.05.2024 19:19pm,Yes,Yes,Not Interested,Woodinville,Luminous Body Essentials,"16650 Woodinville Redmond Rd NE, Woodinville, WA 98072-9067",http://www.zipfizz.com,"(425) 398-4240,(877) 947-3499",,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/wa/woodinville/profile/health-and-wellness/zipfizz-1296-22044467,WA,20,Terri,Elwood,,,
03.05.2024 19:06pm,Yes,Yes,Not Interested,Everett,Valeriya Life,"2520 Colby Ave Ste 107, Everett, WA 98201-2994",http://www.balanceaom.com,(425) 737-6843,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/wa/everett/profile/health-and-wellness/balance-acupuncture-llc-1296-22529704,WA,17,Anthony,Thompson,,,
03.05.2024 18:36pm,Yes,Yes,Not Interested,Snohomish,"Whole Woman, Inc.",", Snohomish, WA 98290-2388",https://www.citrustreesoap.com/,(425) 647-6094,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/wa/snohomish/profile/health-and-wellness/citrus-tree-llc-1296-1000109427,WA,3,Poornima,Janakiraman,,,
03.05.2024 18:34pm,Yes,Yes,Not Interested,Jersey City,Jo Strong LLC,"123 Town Square Pl, Jersey City, NJ 07310-1756",https://www.jostrong.com/,(201) 878-6199,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/nj/jersey-city/profile/health-and-wellness/jo-strong-llc-0221-90226410,NJ,5,Joelle,Eberhart,,,
03.05.2024 18:32pm,Yes,Yes,Not Interested,Amherst,Seward Acupuncture,"606 N French Rd Ste 4, Amherst, NY 14228-2107",https://finessebeautyandwellness.com/,(716) 878-9161,info@finessebeautyandwellness.com,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/ny/amherst/profile/health-and-wellness/finesse-beauty-wellness-medspa-0041-236017677,NY,2,Natasha,Drake,,,
03.05.2024 18:05pm,Yes,Yes,Not Interested,Fairbanks,Rolfing Office Of Linda Jordan,"3550 Airport Way Ste 201, Fairbanks, AK 99709-4772",http://heartstreamyoga.com,(907) 474-8108,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/ak/fairbanks/profile/health-and-wellness/heart-stream-yoga-1296-90004060,AK,12,Marsha,Munsell,,,
03.05.2024 17:59pm,Yes,Yes,Not Interested,Huntsville,Hands On Massage Therapy,"3215 Memorial Pkwy NW, Huntsville, AL 35810",http://naturesapothecary.net/,(256) 533-2050,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/al/huntsville/profile/health-and-wellness/natures-apothecary-0513-900267747,AL,,,,,,
03.05.2024 17:39pm,Yes,Yes,Not Interested,Fort Payne,"On N Poppin Wellness Center, LLC","430 Gault Ave N, Fort Payne, AL 35967",https://www.facebook.com/BoxedLeafCo/,(256) 997-6617,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/al/fort-payne/profile/health-and-wellness/boxed-leaf-0513-900271033,AL,,Jessica,,,,
03.05.2024 17:17pm,Yes,Yes,Not Interested,Florence,Allure Inc & Co,"117 Renaissance ST, Florence, AL 35630",http://fullliferegeneration.com,(256) 765-0002,info@fullliferegeneration.com,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness,,,,,,https://www.bbb.org/us/al/florence/profile/health-and-wellness/full-life-regeneration-0513-900263687,AL,,Matthew,Melson,,,
02.05.2024 20:38pm,Yes,Yes,Not Interested,Doral,Studio Bliss Day Spa,"8450 NW 53rd Street, Doral, FL 33166",https://handandstone.com/locations/doral,"(786) 600-4116,(305) 726-0221",bpatel@handandstone.com,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/fl/doral/profile/spa/hand-stone-doral-massage-and-facial-spa-0633-90558620,FL,,Francisco,Customer Service Manager,,,
02.05.2024 19:07pm,Yes,Yes,Not Interested,San-diego,InHype Sanctuary Wellness & Beauty SPA,"10793 Tierrasanta Blvd # A, San Diego, CA 92124",,(858) 573-1505,drrussell@purespasd.com,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/ca/san-diego/profile/spa/pure-spa-chiropratic-1126-171998761,CA,,Chantal,Russell,,,
02.05.2024 19:06pm,Yes,Yes,Not Interested,Hobe-sound,Hand and Stone Massage and Facial,"9186 SE Parkway Dr, Hobe Sound, FL 33455-6222",,(774) 770-5453,abalonespas@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/fl/hobe-sound/profile/spa/abalone-spas-llc-0633-92034790,FL,,Miss,Samantha,,,
02.05.2024 19:04pm,Yes,Yes,Not Interested,Atascadero,Tranquility Float Spa,", Atascadero, CA 93422",,(805) 460-9391,,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/ca/atascadero/profile/spa/lily-garden-foot-spa-1236-92016611,CA,,Customer,Service,,,
02.05.2024 18:58pm,Yes,Yes,Not Interested,Anaheim,The Sweathouse,"639 N Euclid St, Anaheim, CA 92801-4621",https://blue-ocean-health-spa.business.site/,(714) 999-8816,,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/ca/anaheim/profile/spa/blue-ocean-health-spa-1126-1000122920,CA,,Bo,Song,,,
02.05.2024 18:56pm,Yes,Yes,Not Interested,Los-angeles,Infinity Med I Spa,"8280 Melrose Ave, Los Angeles, CA 90046-6821",,(310) 299-7701,,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/ca/los-angeles/profile/spa/artonomi-aesthetics-1216-1423942,CA,,Nare,Terteryan,,,
02.05.2024 18:52pm,Yes,Yes,Not Interested,Wilton,"Shear Bliss MedSpa, LLC","475 Danbury Rd, Wilton, CT 06897-2126",http://www.dermagespa.com/,(203) 761-9200,,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/ct/wilton/profile/spa/dermage-aesthetic-center-spa-llc-0111-87065649,CT,,David,Tortorelli,,,
02.05.2024 18:14pm,Yes,Yes,Not Interested,Boynton Beach,VouPre,"1790 N Congress Ave STE 200, Boynton Beach, FL 33426-8268",,(561) 810-4865,,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/fl/boynton-beach/profile/spa/royal-foot-spa-inc-0633-90539139,FL,,Juying,Wu,,,
02.05.2024 17:29pm,Yes,Yes,Not Interested,Fort Lauderdale,Heavenly Spa,"321 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304-4204",http://www.westinfortlauderdalebeachspa.com,(954) 245-3040,spa@westinftlauderdalebeach.com,,,,,,,,,,,,,,,,,,,,,,,,,Spa,,,,,,https://www.bbb.org/us/fl/fort-lauderdale/profile/spa/heavenly-spa-0633-90421995,FL,0,,Customer Service Manager,,,
02.05.2024 17:25pm,Yes,Yes,Not Interested,,"Trinity Therapeutic Massage, LLC","2024 Saint Paul St, Baltimore, MD 21218",,4437564803,wweeiihhuuaanngg@gmail.com,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Massage Therapists,Day Spas,Athletic Organizations",yellowpages,1,,,,,,,,,,,
02.05.2024 16:37pm,Yes,Yes,Not Interested,,Ojas Massage and Skin Care - Stevenson,"1925 Old Valley Rd Ste 100 Stevenson, MD 21153",,4103567080,info@ojaswellness.com;ojaswellness.com@contactprivacy.com,,,4,25,,,,,,1,1,1,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/ojas-wellness-center,,https://instagram.com/ojas_massage_skincare/,"Skin Care,Waxing,Massage Therapy",yelp,1,2003,Privately Held,51-200,,,,,,,,
02.05.2024 16:36pm,Yes,Yes,Not Interested,,Nourishing Journey,"8975 Guilford Rd Ste 170 Columbia, MD 21046",,4109923001,info@nourishing-journey.com;jennifer@nourishing-journey.com;robyn@nourishing-journey.com;ifer@nourishing-journey.com;rosemary@nourishing-journey.com,,,4.1,38,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/NourishingJourneyColumbia/,https://twitter.com/NourishingJrny,,https://www.youtube.com/channel/UCiCH7vacDRlHBlkmiqfLxmg,https://www.instagram.com/nourishing.journey.cafe/,"Massage Therapy,Naturopathic/Holistic,Reiki",yelp,1,,Privately Held,10-Feb,,,,,,,,
06.05.2025 04:29:00,Yes,Yes,Not Interested,,Heavenly Hands Rejuvenation,"730 Frederick Rd Ste 206 Catonsville, MD 21228",,4104550550,heavenlyhandsrej@aol.com,,,4,69,,,1110,512,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/heavenlyhandsmaryland/?fref=ts,https://twitter.com/4urcomfort,,,,"Massage Therapy,Reflexology,Skin Care",yelp,1,,,,,,,,,,,
06.05.2025 03:55:00,Yes,Yes,Not Interested,,Club Pilates,"727 W 40th St, Ste 132 Baltimore, MD 21211",,4102059788,granadahills@clubpilates.com;nick.vogel@clubpilates.com;operations@clubpilates.com;littletokyo@clubpilates.com;cherryhills@clubpilates.com;aurora@clubpilates.com;fortlee@clubpilates.com;southprovidence@clubpilates.com;eastlake@clubpilates.com;stpetersburg@clubpilates.com;tustin@clubpilates.com;soma@clubpilates.com;sunrise@clubpilates.com;assemblyrow@clubpilates.com;hilltop@clubpilates.com;rotunda@clubpilates.com;miramesa@clubpilates.com;stmatthews@clubpilates.com;libertystation@clubpilates.com;denville@clubpilates.com;gaineyranch@clubpilates.com;eastlongbeach@clubpilates.com;commack@clubpilates.com;santee@clubpilates.com;kingshighway@clubpilates.com;townecenteredgewater@clubpilates.com;belterra@clubpilates.com;princeton@clubpilates.com;parker@clubpilates.com;newhydepark@clubpilates.com;siouxfalls@clubpilates.com;oceanside@clubpilates.com;celebration@clubpilates.com;roseville@clubpilates.com;miamibirdlafitness@clubpilates.com;northbethesda@clubpilates.com;montclair@clubpilates.com;westdelray@clubpilates.com;mountkisco@clubpilates.com;honolulu@clubpilates.com;wilmington@clubpilates.com;lcf@clubpilates.com;conshohocken@clubpilates.com;folsom@clubpilates.com;sam.papageorge@clubpilates.com;kelowna@clubpilates.com;patrick.copley@clubpilates.com;mercerislandgm@clubpilates.com;hydeparkohgm@clubpilates.com;allison.sapka@clubpilates.com;stcharlesgm@clubpilates.com;nohogm@clubpilates.com;ille@clubpilates.com;wyckoffli@clubpilates.com;boselli@clubpilates.com;ayling.t@clubpilates.com,4.9,84,4.7,13,,,604,246,683,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/278370059638223,https://twitter.com/clubpilates,https://www.linkedin.com/company/club-pilates-san-diego/,,https://www.instagram.com/clubpilates,"Pilates,Yoga",yelp,1,2007,Privately Held,201-500,,,,,,,,
06.05.2025 03:34:00,Yes,Yes,Not Interested,"Boston, MA, United States",Wellness in Motion Boston,"285 Newbury St Tracksmith Track House Boston, MA 02115",,7813454063,info@wellnessinmotionboston.com;backbay@wellnessinmotionboston.com;erin@wellnessinmotionboston.com;meghan@wellnessinmotionboston.com;brookline@wellnessinmotionboston.com;concord@wellnessinmotionboston.com,5,15,5,3,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,https://twitter.com/wimboston,,,http://instagram.com/wimboston,"Chiropractors,Massage Therapy,Physical Therapy",yelp,1,2009,Privately Held,1,,,,,,,,
06.05.2025 03:31:00,Yes,Yes,Not Interested,,Viyada Thai Spa,"336 Newbury St Boston, MA 02115",,6172660390,info@viyadathaispa.com;krit@viyadathaispa.com,4.5,179,4,24,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/viyadathaispa,http://twitter.com/viyadathaispa,,,,"Day Spas,Massage",yelp,1,2012,Privately Held,10-Feb,,,,,,,,
06.05.2025 03:28:00,Yes,Yes,Not Interested,,The Thai House Massage and Spa,"77 Pond Ave Ste 101C Brookline, MA 02445",,6174463136,,,,4.8,75,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/thethaihousemassage/,,,,https://www.instagram.com/thethaihousemassageandspa77/,"Massage Therapy,Reflexology",yelp,1,,,,,,,,,,,
06.05.2025 03:24:00,Yes,Yes,Not Interested,,Jian Min Massage Therapy,"12A Tyler St Boston, MA 02111",,6172089288,jianminmassagetherapy@gmail.com,4.3,85,4.1,33,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Reflexology,Massage Therapy,Massage",yelp,1,,,,,,,,,,,
06.05.2025 03:23:00,Yes,Yes,Not Interested,,The Spa at Encore Boston Harbor,"One Broadway Everett, MA 02149",,8577703900,groupsales@encorebostonharbor.com;guest.comments@encorebostonharbor.com;roomreservations@encorebostonharbor.com;pr@encorebostonharbor.com;info@encorebostonharbor.com;webmaster@wynnlasvegas.com;businesscenter@encorebostonharbor.com;catering@encorebostonharbor.com;ebhvendors@encorebostonharbor.com;advertisingebh@encorebostonharbor.com;nadiuska.ballard@encorebostonharbor.com;jacqui.krum@encorebostonharbor.com;bethany.gibbons@encorebostonharbor.com;kassi.weist@encorebostonharbor.com;eric.kraus@encorebostonharbor.com;beth.gibbons@encorebostonharbor.com;casinohost@encorebostonharbor.com;ebhtransportationsupervisors@encorebostonharbor.com;charisse.delossantos@encorebostonharbor.com;david.granata@encorebostonharbor.com;juliana.catanzariti@encorebostonharbor.com;rosie.salisbury@encorebostonharbor.com,,,4.1,27,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/EncoreBostonHarbor/,,,,https://www.instagram.com/encorebostonharbor/,"Day Spas,Massage",yelp,1,,Public Company,"1,001-5,000",,,,,,,,
06.05.2025 03:15:00,Yes,Yes,Not Interested,,RelaxSation Massage Therapy & Nails,"25 Kingston St Lower Level, Boston, MA 02111",,6174826800,relaxsation.corp@yahoo.com,4.7,529,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/RelaxSation,https://mobile.twitter.com/SationRelax,,,https://www.instagram.com/relaxsation7/,"Massage therapist in Boston, Massachusetts",google-places,1,,,,,,,,,,,
16.05.2024 11:50:00,Yes,Yes,Not Interested,,Serenity Wellness Massage,"320 Washington St, Brookline, MA 02445",,6174316616,contact@serenitywellnessmassage.com;hello@rootsmidwiferyma.com;nurturingbabyhoodandbeyond@gmail.com;serenitybylatoya@gmail.com,4.9,48,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/SerenityWellnessMassage/,,,,https://www.instagram.com/fandasalon_ny/,"Massage therapist in Brookline, Massachusetts",google-places,1,,,,,,,,,,,
13.05.2024 19:34:01,Yes,Yes,Not Interested,,Holistic Spa Therapy,"195 Squire Rd, Revere, MA 02151",,7814851900,,4.8,277,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/HolisticSpaTherapyCenterRevere/,,,https://www.youtube.com/channel/UCvrbrLuFpzMVxekf4wfWhDg,https://www.instagram.com/holisticspatherapycenter/,"Massage Therapists,Day Spas,Massage Services",yellowpages,1,,,10-Feb,,,,,,,,
13.05.2024 19:19:04,Yes,Yes,Not Interested,,Be Well Boston - Massage Therapy,"437 Boylston St 4th floor, Boston, MA 02116",,6175051858,info@bewellboston.com;katrina@bewellboston.com,5,29,,,,,364,46,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/bewellbostonclinicalmassage/,,,https://www.youtube.com/user/bewellboston/videos,,"Massage therapist in Boston, Massachusetts",google-places,1,2009,Self-Owned,10-Feb,,,,,,,,
13.05.2024 19:07:49,Yes,Yes,Not Interested,,Lavender Wellness and Massage,"291 Belmont St Belmont, MA 02478",,8572126516,tamara@lavenderwellnessandmassage.com,,,5,11,,,112,10,120,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/lavenderwellnessandmassage,,https://www.linkedin.com/company/lavender-wellness-and-massage,,https://www.instagram.com/lavender_wellness_massage/,"Massage,Reiki,Massage Therapy",yelp,1,,,,,,,,,,,
13.05.2024 18:23:41,Yes,Yes,Not Interested,,"Boston Healthcare Institute, Inc.","340 Talbot Ave, Dorchester Center, MA 02124",,6172820479,bostonhealthcareinstitute@gmail.com;jeanthemotivator@yahoo.com,4.2,5,,,,,126,3,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/BOSTONHEALTHCAREINSTITUTE.edu/,,,,,"Health &amp; Wellness Products,CPR Information &amp; Services,Home Health Services",yellowpages,1,,,,,,,,,,,
13.05.2024 18:21:17,Yes,Yes,Not Interested,,Center for Wellness,"75 Mt Auburn St 2nd floor, Cambridge, MA 02138",,6174959629,harvard.wellnesseducators@gmail.com;aayers@huhs.harvard.edu;nbryce@huhs.harvard.edu;wellness@huhs.harvard.edu;basics@huhs.harvard.edu;pcardillo@huhs.harvard.edu;smccartin@huhs.harvard.edu;smrugala@huhs.harvard.edu,5,1,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/harvardwellness/,,,,https://www.instagram.com/harvard_wellness/,"Wellness center in Cambridge, Massachusetts",google-places,1,,,,,,,,,,,
